Wall time,Step,Value
1596894092,1000,-7.600000381
1596894101,1500,-8.2111
1596894121,2500,-8.400000572
1596894138,3500,-9.300000191
1596894146,4000,-9
1596894160,5000,-7.200000286
1596894169,5500,-6.400000095
1596894187,6500,-5.700000286
1596894209,7500,-6.400000095
1596894216,8000,-5.500000477
1596894232,9000,-5.000000477
1596894240,9500,-5.100000381
1596894258,10500,-4.500000477
1596894274,11500,-4.900000095
1596894284,12000,-4.800000191
1596894299,13000,-4.700000286
1596894306,13500,-4.100000381
1596894321,14500,-4.400000095
1596894335,15500,-4.300000191
1596894344,16000,-4.500000477
1596894358,17000,-4.200000286
1596894365,17500,-4.200000286
1596894373,18000,2.38999939
1596894392,19000,-4.200000286
1596894407,20000,-4.600000381
1596894414,20500,-4.700000286
1596894429,21500,2.627500057
1596894437,22000,-4.099000454
1596894444,22500,8.704999924
1596894452,23000,8.729999542
1596894458,23500,7.714999676
1596894465,24000,7.755000114
1596894473,24500,7.767499924
1596894480,25000,7.695000172
1596894488,25500,9.484999657
1596894495,26000,9.31499958
1596894513,27000,6.690999985
1596894521,27500,8.462499619
1596894528,28000,9.412499428
1596894852,30000,-4.000000477
1596894867,31000,-4.400000095
1596894875,31500,-4.000000477
1596894890,32500,1.164999962
1596894905,33500,-2.499000072
1596894913,34000,3.159999847
1596894925,34500,4.175000191
1596894932,35000,-1.797000408
1596894940,35500,7.329999924
1596894954,36500,6.609999657
1596894962,37000,5.299000263
1596894976,38000,6.299000263
1596894984,38500,8.799000263
1596894999,39500,8.199000359
1596895012,40500,-3.999000311
1596895021,41000,-4.299000263
1596895035,42000,-4.199000359
1596895042,42500,-3.999000311
1596895056,43500,-4.199000359
1596895071,44500,-4.099000454
1596895079,45000,-2.784998894
1596895086,45500,-4.097000122
1596895101,46500,-4.097000122
1596895116,47500,-4.397000313
1596895124,48000,-4.397000313
1596895138,49000,-4.197000504
1596895145,49500,-3.997000217
1596895153,50000,1.190000534
1596895161,50500,2.070000172
1596895168,51000,-4.299000263
1596895176,51500,4.364999771
1596895191,52500,-4.096000195
1596895205,53500,2.231999874
1596895214,54000,6.684999466
1596895220,54500,4.400000095
1596895235,55500,4.300000191
1596895250,56500,1.804999948
1596895256,57000,5.539999962
1596895271,58000,6.299000263
1596895278,58500,7.099000454
1596895286,59000,7.899000645
1596895293,59500,8.724998951
1596895310,60500,8.424998283
1596895316,61000,9.024999619
1596895331,62000,9.0625
1596895346,63000,-4.5
1596895360,64000,-3.500000477
1596895369,64500,-2.500000954
1596895384,65500,-1.500001431
1596895390,66000,2.31499958
1596895405,67000,-1.599000454
1596895411,67500,1.010000229
1596895420,68000,-1.296000481
1596895427,68500,4
1596895434,69000,3.397000313
1596895449,70000,5.397000313
1596895464,71000,3.397000313
1596895471,71500,6.397000313
1596895486,72500,7.997000217
1596895494,73000,5.497000217
1596895508,74000,-1.097000122
1596895515,74500,5.899999142
1596895524,75000,7.559999466
1596895530,75500,6.445000172
1596895538,76000,8.454999924
1596895545,76500,-4.297000408
1596895553,77000,8.930000305
1596895560,77500,7.93999958
1596895581,78500,-4.498000145
1596895597,79500,7.52733326
1596895612,80500,2.154000044
1596895627,81500,2.099000454
1596895633,82000,8.220000267
1596895641,82500,-1.298000336
1596895648,83000,8.054999352
1596895656,83500,8.589999199
1596895663,84000,-4.100000381
1596895670,84500,8.5
1596895678,85000,8.227499962
1596895692,86000,4.299000263
1596895700,86500,5.879999161
1596895706,87000,9.030000687
1596895715,87500,4.197000504
1596895722,88000,7.170000076
1596895732,88500,8.672499657
1596895748,89500,4.499000549
1596895755,90000,5.490000248
1596895771,91000,2.684999943
1596895778,91500,8.885000229
1596895785,92000,3.998000383
1596895801,93000,4.615666389
1596895808,93500,8.957500458
1596895816,94000,9.487499237
1596895823,94500,7.13999939
1596895831,95000,9.321249962
1596895838,95500,9.263750076
1596895846,96000,9.332499504
1596895854,96500,9.183333397
1596895861,97000,9.179444313
1596895869,97500,9.139235973
1596895876,98000,2.452499628
1596895884,98500,9.535833359
1596895891,99000,9.352000237
1596895899,99500,9.375
1596895906,100000,9.366999626
1596895914,100500,9.332499504
1596895921,101000,9.183333397
1596895929,101500,9.179444313
1596895937,102000,9.139235973
1596895944,102500,8.957500458
1596895952,103000,9.535833359
1596895959,103500,8.957500458
