Wall time,Step,Value
1596892452.3207653,1000,799.0
1596892466.9230518,2000,799.0
1596892475.4777775,2500,799.0
1596892482.9118078,3000,193.0
1596892493.5457776,3500,799.0
1596892510.8798294,4500,450.0
1596892530.3040347,5500,799.0
1596892537.5593946,6000,799.0
1596892551.77165,7000,799.0
1596892560.0384223,7500,799.0
1596892574.050223,8500,799.0
1596892588.5062478,9500,799.0
1596892595.0280979,10000,799.0
1596892603.129684,10500,256.5
1596892609.5623534,11000,313.0
1596892617.9411564,11500,390.0
1596892623.9860384,12000,199.0
1596892630.374312,12500,799.0
1596892638.1530752,13000,128.6666717529297
1596892645.0204127,13500,68.66666412353516
1596892652.4872,14000,216.5
1596892659.5105417,14500,236.3333282470703
1596892667.4890852,15000,133.0
1596892673.9990458,15500,85.16666412353516
1596892681.7789273,16000,71.0
1596892688.5781963,16500,261.6666564941406
1596892700.3897867,17000,172.0
1596892715.2238865,18000,279.25
1596892722.5579405,18500,65.85713958740234
1596892730.4241521,19000,77.16666412353516
1596892860.9208763,20500,799.0
1596892868.6223276,21000,799.0
1596892883.977243,22000,799.0
1596892892.4773288,22500,799.0
1596892906.955736,23500,799.0
1596892924.857319,24500,799.0
1596892933.468502,25000,799.0
1596892940.5699222,25500,411.0
1596892959.325105,26500,799.0
1596892967.7587454,27000,799.0
1596892986.7494428,28000,799.0
1596892993.5830188,28500,799.0
1596893008.7844808,29500,799.0
1596893023.39632,30500,496.5
1596893031.0058484,31000,500.0
1596893046.1850076,32000,799.0
1596893053.7310574,32500,799.0
1596893068.8688238,33500,799.0
1596893077.2424161,34000,799.0
1596893090.2097886,35000,799.0
1596893105.2122707,36000,799.0
1596893113.7779124,36500,799.0
1596893128.8006487,37500,799.0
1596893135.4797053,38000,799.0
1596893149.9467309,39000,799.0
1596893158.2696471,39500,389.0
1596893165.02462,40000,799.0
1596893181.02525,41000,799.0
1596893196.2049243,42000,799.0
1596893204.5269165,42500,799.0
1596893219.4600005,43500,799.0
1596893226.7393227,44000,586.0
1596893241.2845607,45000,799.0
1596893249.5405695,45500,799.0
1596893263.0738225,46500,799.0
1596893270.5853555,47000,799.0
1596893286.5524464,48000,799.0
1596893301.9315298,49000,799.0
1596893309.3450696,49500,799.0
1596893323.711047,50500,799.0
1596893331.7771559,51000,715.0
1596893346.4449813,52000,799.0
1596893353.312166,52500,799.0
1596893370.350204,53500,799.0
1596893386.702209,54500,799.0
1596893394.935749,55000,799.0
1596893409.704384,56000,799.0
1596893416.4831817,56500,799.0
1596893431.8497548,57500,799.0
1596893439.0502303,58000,455.0
1596893453.3167193,59000,799.0
1596893461.318667,59500,799.0
1596893476.4968822,60500,799.0
1596893483.074743,61000,799.0
1596893497.898166,62000,799.0
1596893512.520612,63000,799.0
1596893520.4097917,63500,799.0
1596893535.6987157,64500,799.0
1596893542.3770835,65000,799.0
1596893557.3355644,66000,799.0
1596893579.4569397,67000,799.0
1596893587.1903534,67500,799.0
1596893603.25848,68500,799.0
1596893609.5146081,69000,799.0
1596893617.014821,69500,562.0
1596893631.8142436,70500,799.0
1596893646.3043413,71500,799.0
1596893653.90544,72000,799.0
1596893669.8505065,73000,799.0
1596893684.7628725,74000,799.0
1596893691.7290905,74500,799.0
1596893706.8070827,75500,545.5
1596893721.8535233,76500,799.0
1596893736.3863304,77500,799.0
1596893743.7333748,78000,799.0
1596893758.9651008,79000,799.0
1596893766.0108838,79500,799.0
1596893780.811047,80500,799.0
1596893795.0348134,81500,799.0
1596893801.6468103,82000,799.0
1596893816.680344,83000,799.0
1596893824.8579288,83500,799.0
1596893839.9806206,84500,799.0
1596893854.0819838,85500,799.0
1596893860.7160077,86000,799.0
1596893875.4618187,87000,799.0
1596893883.6831036,87500,799.0
1596893898.4845147,88500,586.0
