Wall time,Step,Value
1596839669,1000,-7.700000286
1596839685,2000,-8.100000381
1596839693,2500,-7.800000191
1596839709,3500,-8
1596839724,4500,-6.800000191
1596839732,5000,-7.200000286
1596839748,6000,-6.000000477
1596839756,6500,-5.900000095
1596839772,7500,-5.100000381
1596839787,8500,-4.900000095
1596839795,9000,-4.700000286
1596839810,10000,-5
1596839819,10500,-4.500000477
1596839833,11500,-4.500000477
1596839848,12500,-4.800000191
1596839857,13000,-4.400000095
1596839873,14000,-4.800000191
1596839880,14500,-4.300000191
1596839896,15500,-4.5
1596839912,16500,-4.200000286
1596839921,17000,-4.200000286
1596839938,18000,-4.000000477
1596839945,18500,-4.300000191
1596839961,19500,-4.300000191
1596839977,20500,-4.400000095
1596839986,21000,-4.200000286
1596840002,22000,-4.200000286
1596840008,22500,-4.300000191
1596840024,23500,-4.100000381
1596840039,24500,-4.100000381
1596840047,25000,-4.000000477
1596840063,26000,-4.100000381
1596840071,26500,-4.200000286
1596840086,27500,-4.400000095
1596840102,28500,-4.200000286
1596840110,29000,-4.000000477
1596840125,30000,-4.100000381
1596840133,30500,-4.200000286
1596840149,31500,-4.000000477
1596840164,32500,-4.000000477
1596840172,33000,-4.000000477
1596840188,34000,-4.200000286
1596840195,34500,-4.000000477
1596840211,35500,-4.000000477
1596840226,36500,-4.100000381
1596840235,37000,-4.000000477
1596840251,38000,-4.000000477
1596840258,38500,-4.000000477
1596840274,39500,-4.000000477
1596840290,40500,-4.200000286
1596840298,41000,-4.300000191
1596840314,42000,-4.100000381
1596840321,42500,-4.000000477
1596840336,43500,-4.000000477
1596840352,44500,-4.200000286
1596840361,45000,-4.600000381
1596840376,46000,-4.000000477
1596840384,46500,-4.000000477
1596840399,47500,-4.100000381
1596840415,48500,-4.100000381
1596840423,49000,-4.000000477
1596840439,50000,-4.000000477
1596840447,50500,-4.100000381
1596840462,51500,-4.000000477
1596840479,52500,-4.300000191
1596840487,53000,-4.000000477
1596840502,54000,-4.200000286
1596840510,54500,-4.100000381
1596840525,55500,6.434999943
1596840532,56000,-4.099000454
1596840548,57000,6.054999828
1596840555,57500,-4.299000263
1596840571,58500,2.337999821
1596840587,59500,-4.000000477
1596840602,60500,6.334999084
1596840611,61000,-4.000000477
1596840626,62000,-4.500000477
1596840633,62500,6.989999771
1596840649,63500,-3.999000311
1596840657,64000,-4.199000359
1596840664,64500,6.754999161
1596840680,65500,-4.097000122
1596840688,66000,7.809999943
1596840695,66500,-3.99600029
1596840704,67000,8.170000076
1596840720,68000,-4.098000526
