Wall time,Step,Value
1596839669.3784857,1000,799.0
1596839685.124021,2000,799.0
1596839693.0570326,2500,799.0
1596839708.569247,3500,799.0
1596839715.7700229,4000,799.0
1596839732.10482,5000,799.0
1596839747.4828224,6000,799.0
1596839755.8168004,6500,799.0
1596839771.4854956,7500,799.0
1596839778.5067527,8000,799.0
1596839794.9860127,9000,799.0
1596839810.3319585,10000,799.0
1596839818.5096824,10500,799.0
1596839832.876569,11500,799.0
1596839840.8874636,12000,799.0
1596839857.2663627,13000,799.0
1596839872.5666862,14000,799.0
1596839879.8232255,14500,799.0
1596839896.43524,15500,799.0
1596839904.391579,16000,799.0
1596839920.7032006,17000,799.0
1596839938.0700803,18000,799.0
1596839945.3269806,18500,799.0
1596839960.8061726,19500,799.0
1596839969.1939058,20000,799.0
1596839985.50706,21000,799.0
1596840001.5510826,22000,799.0
1596840008.2071033,22500,799.0
1596840023.8520474,23500,799.0
1596840031.0098252,24000,799.0
1596840047.1758363,25000,799.0
1596840062.6432395,26000,799.0
1596840071.0207293,26500,799.0
1596840086.2900846,27500,799.0
1596840093.3778157,28000,799.0
1596840109.633998,29000,799.0
1596840125.180658,30000,799.0
1596840133.1145353,30500,799.0
1596840148.5359635,31500,799.0
1596840155.6925724,32000,799.0
1596840172.2271926,33000,799.0
1596840188.0384414,34000,799.0
1596840195.2382634,34500,799.0
1596840210.5953212,35500,799.0
1596840218.5067146,36000,799.0
1596840234.8305387,37000,799.0
1596840251.1775556,38000,799.0
1596840258.321118,38500,799.0
1596840273.955183,39500,799.0
1596840282.0211937,40000,799.0
1596840298.2340744,41000,799.0
1596840313.8115833,42000,799.0
1596840320.9893332,42500,799.0
1596840336.3133352,43500,799.0
1596840345.191967,44000,799.0
1596840361.4689045,45000,799.0
1596840375.7602994,46000,799.0
1596840383.693407,46500,799.0
1596840399.3278599,47500,799.0
1596840406.4600668,48000,799.0
1596840422.672765,49000,799.0
1596840438.8621085,50000,799.0
1596840447.0087552,50500,799.0
1596840462.2977633,51500,799.0
1596840470.0745425,52000,799.0
1596840486.5646565,53000,799.0
1596840501.9324818,54000,799.0
1596840509.7317536,54500,799.0
1596840525.455855,55500,673.0
1596840532.035086,56000,799.0
1596840547.9238966,57000,769.0
1596840555.0694993,57500,799.0
1596840571.3686764,58500,512.0
1596840586.6695054,59500,799.0
1596840594.5696054,60000,733.0
1596840611.0607545,61000,799.0
1596840626.2834685,62000,799.0
1596840633.2615488,62500,602.0
1596840641.1945589,63000,799.0
1596840657.374271,64000,799.0
1596840664.4526837,64500,549.0
1596840680.2421951,65500,799.0
1596840688.163994,66000,418.0
1596840695.27532,66500,799.0
1596840704.1749883,67000,366.0
1596840720.0893228,68000,799.0
1596840726.6442099,68500,799.0
1596840742.3558393,69500,799.0
1596840749.455929,70000,799.0
1596840757.8118415,70500,257.0
1596840764.8573804,71000,799.0
1596840773.9792917,71500,298.0
1596840788.846927,72500,729.0
1596840796.090964,73000,799.0
1596840811.516856,74000,799.0
1596840819.6717997,74500,447.0
1596840826.8048534,75000,799.0
1596840842.5830438,76000,479.5
1596840857.817696,77000,799.0
1596840865.9501421,77500,799.0
1596840882.385479,78500,799.0
1596840898.1645687,79500,799.0
1596840904.8313704,80000,799.0
1596840919.843505,81000,720.0
1596840927.7547343,81500,799.0
1596840942.5655017,82500,578.0
1596840957.9005184,83500,799.0
1596840966.8556979,84000,668.0
1596840982.2901287,85000,799.0
1596840997.7463834,86000,799.0
1596841004.6581967,86500,799.0
1596841020.747137,87500,773.0
1596841028.6374502,88000,799.0
1596841044.0763717,89000,799.0
1596841059.6184423,90000,799.0
1596841067.7940829,90500,799.0
1596841075.6057718,91000,170.0
1596841082.8179522,91500,424.0
1596841091.7973955,92000,799.0
1596841106.7529447,93000,627.0
1596841114.1864605,93500,799.0
1596841129.38633,94500,799.0
1596841136.2311137,95000,593.0
1596841144.764628,95500,523.0
1596841160.2441792,96500,799.0
1596841167.577631,97000,799.0
1596841183.8998158,98000,799.0
1596841192.0349104,98500,799.0
1596841207.7467444,99500,504.0
1596841224.1249166,100500,670.0
1596841231.3914678,101000,799.0
1596841246.7700646,102000,799.0
1596841255.3477411,102500,405.0
1596841262.3709903,103000,785.0
1596841277.8938546,104000,799.0
1596841294.1403337,105000,799.0
1596841302.0727646,105500,799.0
1596841317.861649,106500,799.0
1596841324.875319,107000,799.0
1596841340.1646218,108000,799.0
1596841356.0322113,109000,614.5
1596841371.2992227,110000,799.0
1596841378.7983987,110500,385.0
1596841386.8212426,111000,799.0
1596841401.8230004,112000,782.0
1596841409.5335064,112500,654.0
1596841424.8467548,113500,799.0
1596841433.4579003,114000,778.0
1596841440.2585986,114500,260.5
1596841449.3373609,115000,237.0
1596841455.9360018,115500,317.5
1596841472.80451,116500,585.0
1596841488.3059206,117500,799.0
1596841496.651312,118000,508.0
1596841504.0288298,118500,248.0
1596841512.516703,119000,341.5
1596841527.985503,120000,799.0
1596841542.1966097,121000,799.0
1596841550.9294686,121500,423.5
1596841557.6081195,122000,269.0
1596841565.7195432,122500,244.5
1596841572.9870641,123000,746.0
1596841588.787952,124000,511.5
1596841597.1877952,124500,307.0
1596841604.088923,125000,206.0
1596841613.1334288,125500,487.0
1596841620.5891507,126000,571.0
1596841636.634609,127000,799.0
1596841644.1573393,127500,713.0
1596841659.9136004,128500,799.0
1596841668.0703785,129000,799.0
1596841675.7057705,129500,291.0
1596841692.0365543,130500,518.0
1596841707.9282207,131500,628.0
1596841714.5740795,132000,385.0
1596841723.4835494,132500,144.5
1596841730.8386002,133000,685.0
1596841746.0642204,134000,487.0
1596841754.2295392,134500,176.0
1596841761.4399583,135000,799.0
1596841770.2404854,135500,328.5
1596841778.120402,136000,141.0
1596841786.0093212,136500,799.0
1596841793.3755243,137000,173.0
1596841801.7310562,137500,799.0
1596841808.6322765,138000,163.0
1596841817.6439579,138500,183.3333282470703
1596841824.276419,139000,158.5
1596841831.6441097,139500,214.5
1596841840.7033637,140000,246.0
1596841847.644903,140500,180.25
1596841855.4242399,141000,108.5
1596841863.7349575,141500,269.0
1596841871.2586968,142000,104.33333587646484
1596841879.4589918,142500,184.3333282470703
1596841887.8800926,143000,316.0
1596841894.9470618,143500,158.6666717529297
1596841902.6372223,144000,175.3333282470703
1596841910.880669,144500,122.0
1596841918.7378619,145000,131.25
1596841926.2275028,145500,141.6666717529297
1596841934.217072,146000,151.0
1596841941.9066505,146500,384.0
1596841950.2175105,147000,206.5
1596841965.5744925,148000,457.0
1596841981.8742049,149000,268.25
1596841997.5976946,150000,390.5
1596842005.5647442,150500,287.0
1596842013.7545588,151000,469.0
1596842020.686729,151500,92.19999694824219
1596842029.57583,152000,142.0
1596842036.7762475,152500,415.0
1596842045.1217432,153000,799.0
1596842052.2334254,153500,142.3333282470703
1596842059.6007855,154000,124.33333587646484
1596842076.2685828,155000,378.3333435058594
1596842084.6251576,155500,253.0
1596842091.9014127,156000,799.0
1596842100.7793734,156500,270.5
1596842107.825134,157000,116.5
1596842115.9702115,157500,144.3333282470703
1596842123.436798,158000,111.5999984741211
1596842132.169952,158500,87.0
1596842138.9813614,159000,322.6666564941406
1596842147.2930949,159500,88.5
1596842155.283438,160000,799.0
1596842163.5289185,160500,99.19999694824219
1596842171.2503688,161000,97.0
1596842179.5951905,161500,95.0
1596842186.2183328,162000,566.0
1596842195.097146,162500,98.33333587646484
1596842202.485842,163000,205.0
1596842210.1307743,163500,114.5
1596842217.7852685,164000,286.0
1596842226.1748836,164500,144.0
1596842233.6751692,165000,141.3333282470703
1596842242.3761675,165500,130.75
