Wall time,Step,Value
1589719924,500,99
1589719935,1000,99
1589719946,1500,99
1589719956,2000,99
1589719968,2500,99
1589719978,3000,99
1589719990,3500,91.80000305
1589720001,4000,87.16666412
1589720012,4500,92.80000305
1589720022,5000,99
1589720032,5500,94.59999847
1589720044,6000,91.83333588
1589720054,6500,83.66666412
1589720069,7000,99
1589720081,7500,90.80000305
1589720094,8000,87.83333588
1589720107,8500,75
1589720118,9000,88.40000153
1589720129,9500,72.85713959
1589720139,10000,42.63636398
1589720150,10500,77.16666412
1589720160,11000,69.7142868
1589720172,11500,48.75
1589720181,12000,16.52173996
1589720193,12500,51.36363602
1589720203,13000,35.42856979
1589720215,13500,63.125
1589720224,14000,32.7857132
1589720236,14500,17.10344887
1589720247,15000,13.86206913
1589720258,15500,21.03846169
1589720268,16000,16
1589720280,16500,42.76922989
1589720290,17000,15.06896591
1589720302,17500,34.8125
1589720311,18000,19
1589720321,18500,14.46875
1589720333,19000,12.81081104
1589720344,19500,19.75
1589720355,20000,15.48275852
1589720366,20500,30.23529434
1589720378,21000,14.02941132
1589720387,21500,25.83333397
1589720399,22000,17
1589720409,22500,13.71428585
1589720420,23000,13.73684216
1589720431,23500,21.26086998
1589720443,24000,11.94871807
1589720453,24500,13.73529434
1589720464,25000,10.94999981
1589720475,25500,9.395833015
1589720486,26000,23.61904716
1589720496,26500,11.51282024
1589720508,27000,13.31428528
1589720518,27500,13.55882359
1589720529,28000,11.79487133
1589720540,28500,21.68181801
1589720552,29000,12.71052647
1589720561,29500,20.86363602
1589720573,30000,10.23913002
1589720584,30500,14.39393902
1589720594,31000,18.79166603
1589720605,31500,18.96153831
1589720616,32000,14.1875
1589720626,32500,12.10526276
1589720637,33000,12.5405407
1589720648,33500,12.34210491
1589720659,34000,12.21621609
1589720671,34500,13.13888931
1589720682,35000,10.90243912
1589720692,35500,12.55263138
1589720703,36000,15.13333321
1589720714,36500,17.6785717
1589720725,37000,17.42307663
1589720735,37500,19.23999977
1589720747,38000,20.652174
1589720757,38500,11.46341419
1589720768,39000,10.90476227
1589720779,39500,15.30000019
1589720789,40000,12.86111069
1589720800,40500,15.89999962
1589720811,41000,11.39999962
1589720822,41500,10.38636398
1589720833,42000,10.4651165
1589720844,42500,16
1589720855,43000,16.06896591
1589720865,43500,14
1589720876,44000,10.5
1589720887,44500,13.55882359
1589720899,45000,13.34285736
1589720910,45500,10.88095284
1589720921,46000,13.05555534
1589720931,46500,16.6071434
1589720943,47000,12.4594593
1589720954,47500,16.23333359
1589720964,48000,13.26470566
1589720976,48500,10.340909
1589720987,49000,14.48484802
