Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
18000,1.2929668,-2.047129,17294.0,-660.0,-660.0,1.2343918,0.3390642,0.000282577,1.0
19000,1.2855823,-1.8297749,None,None,None,0.38947454,0.5388275,0.00028155302,1.0
20000,1.2395577,-1.5382073,1919.0,-42.0,-42.0,1.258233,0.3458735,0.00028052903,1.0
21000,1.1947459,-1.2154593,None,None,None,0.054229427,0.479563,0.000279505,1.0
22000,1.2375673,-1.3081582,2417.0,-6.0,-6.0,0.033857048,0.44955158,0.00027848102,1.0
23000,1.2544316,-1.1389673,None,None,None,0.94546646,0.35654628,0.00027747103,1.0
24000,1.265989,-0.7706221,None,None,None,0.02600232,0.49694505,0.000276447,1.0
25000,1.2279868,-0.68319726,None,None,None,0.007854299,0.4336458,0.00027542302,1.0
26000,1.1824421,-0.6148776,None,None,None,0.009006254,0.4564618,0.00027439903,1.0
27000,1.1759648,-0.58501524,None,None,None,0.041059073,0.41406456,0.00027337504,1.0
28000,1.1021935,-0.5302994,None,None,None,0.101131536,0.37450752,0.00027235106,1.0
29000,1.103664,-0.46758118,None,None,None,0.0087858895,0.38795054,0.00027132707,1.0
30000,1.121086,-0.40299034,None,None,None,0.0007449013,0.48333058,0.00027030305,1.0
31000,1.1993461,-1.1527103,8743.0,-19.0,-19.0,1.1635114,0.36214766,0.00026923907,1.0
32000,1.1951008,-1.4476193,None,None,None,0.42370835,0.5409238,0.00026821505,1.0
33000,1.1849524,-0.8853066,1156.5,-26.0,-26.0,1.6583533,0.40395227,0.00026718006,1.0
34000,1.1425617,-0.6161797,655.0,4.0,4.0,0.65249383,0.28729868,0.00026614303,1.0
35000,1.1804539,-1.308261,1059.0,4.0,4.0,1.4014367,0.43084273,0.00026510004,1.0
36000,1.1673913,-0.9403113,576.0,-16.5,-16.5,1.1893296,0.39850676,0.00026403903,1.0
37000,1.1475364,-0.7444223,552.0,0.0,0.0,None,None,None,1.0
38000,1.1562717,-0.9479001,513.0,-3.5,-3.5,1.5910372,0.398045,0.00026299705,1.0
39000,1.1102793,-0.76266664,364.0,1.0,1.0,2.0092258,0.41836333,0.000261969,1.0
40000,1.1248161,-0.94446194,802.0,-13.0,-13.0,0.9998277,0.46367058,0.00026096404,1.0
41000,1.09879,-0.1635572,None,None,None,1.3282948,0.3991779,0.000259934,1.0
42000,1.1109368,-1.4576972,None,None,None,0.45811746,0.54999465,0.00025891003,1.0
43000,1.1076387,-1.2564143,None,None,None,0.68275195,0.5671928,0.00025788601,1.0
44000,1.0003709,-0.53949445,3393.0,-111.0,-111.0,0.658155,0.53360146,0.00025686203,1.0
45000,0.97402155,-0.26147768,1540.0,2.0,2.0,0.26265386,0.2816157,0.000255836,1.0
46000,1.123108,-1.4479933,None,None,None,0.41718164,0.26846838,0.00025480703,1.0
47000,1.1263458,-1.4703164,None,None,None,0.12293812,0.53951865,0.00025378304,1.0
48000,1.0996646,-0.95181745,None,None,None,0.24687277,0.46765795,0.00025275906,1.0
49000,1.0042228,-0.07381435,None,None,None,0.016118653,0.4973556,0.00025173507,1.0
