Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
1000,1.4180498,63.666666666666664,0.020391988,0.3,0.3,0.22839531,0.2684434,0.00029943677,1.0
2000,1.4128283,95.25,-0.10163144,0.0,0.0,0.030650629,0.24297476,0.00029849214,1.0
3000,1.4125363,68.15789473684211,0.16513644,0.25,0.25,0.06568794,0.26321653,0.00029746088,1.0
4000,1.4089673,58.94117647058823,0.5039559,0.1875,0.1875,0.033226833,0.24231933,0.0002965339,1.0
5000,1.4089429,57.05263157894737,0.3220779,0.2631578947368421,0.2631578947368421,0.042535186,0.22821225,0.00029550045,1.0
6000,1.4102323,44.76190476190476,0.26528654,0.3181818181818182,0.3181818181818182,0.022051144,0.23395954,0.00029449514,1.0
7000,1.4121389,39.36,0.48255754,0.34782608695652173,0.34782608695652173,0.03592115,0.2401027,0.00029349525,1.0
8000,1.4116399,35.65217391304348,0.14588937,0.3076923076923077,0.3076923076923077,0.023309097,0.26000535,0.00029249612,1.0
9000,1.4107575,45.875,0.18479456,0.21739130434782608,0.21739130434782608,0.019578718,0.23213065,0.00029150752,1.0
10000,1.4133507,39.86363636363637,0.17132598,0.25,0.25,0.023449454,0.24400418,0.0002905456,1.0
11000,1.4127303,31.5,0.2458832,0.3125,0.3125,0.04227657,0.25250614,0.00028950867,1.0
12000,1.4132707,27.161290322580644,0.46177474,0.4411764705882353,0.4411764705882353,0.029668208,0.25166678,0.0002885345,1.0
13000,1.413462,34.41379310344828,0.2568481,0.3,0.3,0.022655934,0.2552411,0.00028756002,1.0
14000,1.4100212,26.91176470588235,0.25287765,0.29411764705882354,0.29411764705882354,0.036808927,0.27635792,0.00028653358,1.0
15000,1.4108826,32.06666666666667,0.24840777,0.3333333333333333,0.3333333333333333,0.010732417,0.24692172,0.00028549734,1.0
16000,1.406095,42.75,0.18064184,0.20833333333333334,0.20833333333333334,0.025675552,0.24112312,0.0002844519,1.0
17000,1.3966591,32.82142857142857,0.24501339,0.17857142857142858,0.17857142857142858,0.016380766,0.25525454,0.00028353278,1.0
18000,1.3941417,31.103448275862068,0.23314004,0.27586206896551724,0.27586206896551724,0.034032546,0.25095955,0.00028250634,1.0
19000,1.3904041,25.944444444444443,0.40886602,0.4473684210526316,0.4473684210526316,0.02534455,0.2517089,0.00028146524,1.0
20000,1.3916838,24.19047619047619,0.43578357,0.5,0.5,0.032286346,0.24110821,0.0002804884,1.0
21000,1.3981344,21.681818181818183,0.3710113,0.4090909090909091,0.4090909090909091,0.034423366,0.2503397,0.0002795168,1.0
22000,1.3931954,21.130434782608695,0.4325163,0.46808510638297873,0.46808510638297873,0.023493962,0.26349604,0.00027849572,1.0
23000,1.3916731,19.680851063829788,0.4147879,0.44680851063829785,0.44680851063829785,0.03615281,0.26812044,0.00027751477,1.0
24000,1.3939419,20.29787234042553,0.42308965,0.425531914893617,0.425531914893617,0.029399388,0.2367807,0.00027654,1.0
25000,1.3900478,18.653846153846153,0.48442098,0.4807692307692308,0.4807692307692308,0.032001782,0.2522426,0.00027550047,1.0
26000,1.3899015,22.29268292682927,0.35309806,0.40476190476190477,0.40476190476190477,0.03242542,0.24500877,0.00027447802,1.0
27000,1.3912394,19.98,0.4787507,0.48936170212765956,0.48936170212765956,0.023447374,0.23902899,0.00027349102,1.0
28000,1.3831663,16.67924528301887,0.53177273,0.543859649122807,0.543859649122807,0.019657971,0.262371,0.0002725293,1.0
29000,1.3810925,22.38095238095238,0.5042564,0.5116279069767442,0.5116279069767442,0.022332026,0.22320454,0.00027151845,1.0
30000,1.3790876,21.152173913043477,0.4833164,0.5217391304347826,0.5217391304347826,0.020484272,0.24396944,0.00027046693,1.0
31000,1.3777595,22.61904761904762,0.45297375,0.5,0.5,0.023548242,0.24160856,0.0002695098,1.0
32000,1.3739306,19.425531914893618,0.4784367,0.5531914893617021,0.5531914893617021,0.017086782,0.25397956,0.00026854794,1.0
33000,1.3717026,19.645833333333332,0.6149939,0.64,0.64,0.017707994,0.25070158,0.00026751735,1.0
34000,1.372331,21.434782608695652,0.5843524,0.5869565217391305,0.5869565217391305,0.01747776,0.23445238,0.00026649624,1.0
35000,1.3664333,19.717391304347824,0.552721,0.5957446808510638,0.5957446808510638,0.012268656,0.26145083,0.00026549722,1.0
36000,1.3646828,24.564102564102566,0.49377888,0.5641025641025641,0.5641025641025641,0.02404016,0.24515443,0.00026450827,1.0
37000,1.3639084,18.041666666666668,0.47110826,0.5102040816326531,0.5102040816326531,0.023334296,0.2548964,0.00026350844,1.0
38000,1.3596311,25.81578947368421,0.46605396,0.5384615384615384,0.5384615384615384,0.01286079,0.256996,0.00026248602,1.0
39000,1.3634667,19.04,0.555471,0.6041666666666666,0.6041666666666666,0.010344797,0.26971745,0.00026145185,1.0
40000,1.3623588,17.96153846153846,0.53160745,0.5370370370370371,0.5370370370370371,0.012948599,0.23215666,0.00026049765,1.0
41000,1.3651764,19.06122448979592,0.48156983,0.5,0.5,0.013237866,0.2571463,0.0002594814,1.0
42000,1.3619213,19.1,0.55462027,0.62,0.62,0.0059205852,0.24604513,0.00025848302,1.0
43000,1.358107,16.263157894736842,0.5616635,0.603448275862069,0.603448275862069,0.012594499,0.22644812,0.00025748968,1.0
44000,1.3594425,17.181818181818183,0.5271693,0.5272727272727272,0.5272727272727272,0.012533651,0.24428964,0.00025650478,1.0
45000,1.356626,15.145454545454545,0.55730873,0.631578947368421,0.631578947368421,0.012156095,0.24815065,0.00025549025,1.0
46000,1.3528605,18.30909090909091,0.52225953,0.5636363636363636,0.5636363636363636,0.015378889,0.24153115,0.00025452167,1.0
47000,1.3500572,20.82608695652174,0.59459984,0.6739130434782609,0.6739130434782609,0.01828011,0.24922745,0.00025352047,1.0
48000,1.347939,18.833333333333332,0.5689067,0.6,0.6,0.017790329,0.24853608,0.0002524879,1.0
49000,1.3488141,18.693877551020407,0.54870206,0.6,0.6,0.014898716,0.25654432,0.00025149836,1.0
50000,1.3523206,20.6875,0.55710655,0.625,0.625,0.018052157,0.22423522,0.00025053305,1.0
51000,1.3608234,15.436363636363636,0.5968733,0.625,0.625,0.015351964,0.24098171,0.00024953333,1.0
52000,1.3614357,20.019607843137255,0.55316025,0.6730769230769231,0.6730769230769231,0.015385164,0.2496945,0.00024851676,1.0
53000,1.3627251,16.954545454545453,0.5280145,0.6,0.6,0.023474552,0.26452178,0.0002475008,1.0
54000,1.3641062,22.208333333333332,0.54841083,0.6122448979591837,0.6122448979591837,0.011408389,0.23256058,0.00024651142,1.0
55000,1.3561127,15.633333333333333,0.6017145,0.6721311475409836,0.6721311475409836,0.01715771,0.23361911,0.00024552716,1.0
56000,1.3557391,17.612244897959183,0.5947052,0.6078431372549019,0.6078431372549019,0.01414987,0.23954484,0.00024452317,1.0
57000,1.3537176,19.956521739130434,0.5145549,0.5909090909090909,0.5909090909090909,0.009751267,0.2322975,0.00024350882,1.0
58000,1.3509973,17.625,0.5941704,0.6530612244897959,0.6530612244897959,0.014705862,0.23569427,0.00024253604,1.0
59000,1.3487501,19.0,0.5761148,0.6590909090909091,0.6590909090909091,0.008432891,0.24302615,0.0002414835,1.0
60000,1.3514794,18.386363636363637,0.52769864,0.5681818181818182,0.5681818181818182,0.020669997,0.25061622,0.0002404597,1.0
