Steps,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Is Training
3000,3.8627803,3.5112506272271276,3.5112506272271276,1.3425727,1.5705777,0.55177253,0.00029793606,615.0,1.0
4000,5.5678864,None,None,1.359331,0.9154986,0.5240975,0.00029687205,None,1.0
5000,5.867691,-1.7599999941885471,-1.7599999941885471,1.3725864,0.8703982,0.537141,0.00029584803,1999.0,1.0
6000,4.9365654,None,None,1.3733121,0.70779324,0.5627992,0.00029480804,None,1.0
7000,4.1432657,-2.060000006109476,-2.060000006109476,1.3616366,0.40054378,0.556041,0.00029378405,1999.0,1.0
8000,3.3985248,9.411499854177237,9.411499854177237,1.3403016,0.44371802,0.45001918,0.00029272903,537.0,1.0
9000,4.585368,None,None,1.3694535,0.41055787,0.42188007,0.00029166805,None,1.0
10000,4.005775,-1.9597999877296388,-1.9597999877296388,1.3670489,0.33179176,0.56719047,0.00029064406,1999.0,1.0
11000,3.4955363,None,None,1.3598899,0.19909999,0.55114216,0.00028960404,None,1.0
12000,3.2345338,-2.4497999511659145,-2.4497999511659145,1.3579193,0.11820317,0.55208176,0.00028858005,1999.0,1.0
13000,2.2392454,None,None,1.3288114,0.08016156,0.57961166,0.00028754002,None,1.0
14000,2.3778863,9.392499910046658,9.392499910046658,1.2675335,0.5431186,0.34694117,0.00028651804,675.0,1.0
15000,2.4601138,None,None,1.3677845,0.54521406,0.32018185,0.00028551204,None,1.0
16000,2.012453,-2.0995999723672867,-2.0995999723672867,1.3687842,0.032939285,0.5384595,0.00028448805,1999.0,1.0
17000,2.009851,None,None,1.3544042,0.022138612,0.55263686,0.00028344803,None,1.0
18000,1.7350696,-2.3895999724045396,-2.3895999724045396,1.3258423,0.019386802,0.5826822,0.000282424,1999.0,1.0
19000,1.2471259,None,None,1.3465158,0.0147671765,0.5266671,0.00028138398,None,1.0
20000,1.2348125,4.023199794348329,4.023199794348329,1.3318548,0.0057850746,0.55603236,0.00028036002,1083.5,1.0
21000,1.1169194,9.706000290811062,9.706000290811062,1.2773614,0.93698525,0.34272763,0.00027933397,328.0,1.0
22000,0.94088715,8.514499500393867,8.514499500393867,1.2931571,0.5927403,0.2914758,0.00027830998,1471.0,1.0
23000,0.75862277,None,None,1.3247674,0.0019581388,0.5673605,0.000277286,None,1.0
24000,0.7720579,8.517999615520239,8.517999615520239,1.3498966,0.56382054,0.25151485,0.00027624497,1424.0,1.0
