Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2000,-1.0179247,1.3524623,234.0,9.736000172793865,9.736000172793865,1.0
2500,-2.4059806,1.3603818,None,None,None,1.0
3000,-1.425352,1.3665655,351.0,9.49899984896183,9.49899984896183,1.0
3500,-1.8789628,1.3359988,417.0,None,None,1.0
4000,-1.0456611,1.3497952,None,9.48299976438284,9.48299976438284,1.0
4500,-1.1921422,1.3424426,None,None,None,1.0
5000,-1.7066323,1.322356,541.0,9.079000003635883,9.079000003635883,1.0
5500,-1.7447331,1.347256,None,None,None,1.0
6000,-1.1460314,1.3373033,None,None,None,1.0
6500,-1.0393589,1.3527594,None,None,None,1.0
7000,-1.340542,1.3377244,None,None,None,1.0
7500,-1.235966,1.3463078,None,None,None,1.0
8000,-0.83942,1.3112441,None,None,None,1.0
8500,-0.73232925,1.2869928,None,None,None,1.0
9000,-0.6684504,1.293726,999.0,-1.4900000154972077,-1.4900000154972077,1.0
9500,-0.82239205,1.2731998,None,None,None,1.0
10000,-0.10088383,1.2728528,None,None,None,1.0
10500,-0.026383877,1.2870463,None,None,None,1.0
11000,0.3222349,1.3235341,999.0,-1.5994000136852264,-1.5994000136852264,1.0
11500,-0.9941638,1.2903525,None,None,None,1.0
12000,-0.55128384,1.2946112,999.0,-1.729599989950657,-1.729599989950657,1.0
12500,-0.17618035,1.2766155,999.0,-1.6397999972105026,-1.6397999972105026,1.0
13000,-0.6847525,1.2846596,None,None,None,1.0
13500,-0.7154216,1.303386,None,None,None,1.0
14000,-0.5631764,1.3035202,999.0,-1.4594000279903412,-1.4594000279903412,1.0
14500,-0.7567036,1.29244,None,None,None,1.0
15000,-0.8391213,1.2974573,None,None,None,1.0
15500,-0.73437303,1.2848016,None,None,None,1.0
16000,-0.69179934,1.2667637,None,None,None,1.0
16500,-0.6198485,1.3143402,None,None,None,1.0
17000,-0.42451447,1.2896681,None,None,None,1.0
17500,0.0017127469,1.2651273,None,None,None,1.0
18000,-0.10502336,1.2522475,969.5,-1.4480000205338002,-1.4480000205338002,1.0
18500,-0.3351079,1.260642,None,8.83800034224987,8.83800034224987,1.0
19000,-0.48786843,1.2655433,None,None,None,1.0
19500,-0.35845643,1.2963688,None,None,None,1.0
20000,-0.22105347,1.2950778,229.0,9.71100029349327,9.71100029349327,1.0
20500,-0.4547599,1.2734487,None,None,None,1.0
21000,-0.30541202,1.2612791,999.0,-1.4496000334620476,-1.4496000334620476,1.0
21500,-0.017215885,1.232365,999.0,-1.4398000240325928,-1.4398000240325928,1.0
22000,-0.050342605,1.2182022,None,None,None,1.0
22500,0.4765636,1.207228,None,None,None,1.0
23000,0.5225171,1.2759913,773.0,3.831800077110529,3.831800077110529,1.0
