Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
1000,1.4185146,58.05882352941177,0.11213667,0.375,0.375,0.053605486,0.24957712,0.0002993854,1.0
2000,1.4270223,49.095238095238095,0.13410693,0.3,0.3,0.037160434,0.24143207,0.00029849575,1.0
3000,1.435173,38.08695652173913,0.27228674,0.38461538461538464,0.38461538461538464,0.031716652,0.25303334,0.0002975053,1.0
4000,1.4369497,41.666666666666664,0.37007412,0.3684210526315789,0.3684210526315789,0.038562085,0.25921047,0.0002964715,1.0
5000,1.4385009,33.03846153846154,0.35397723,0.42857142857142855,0.42857142857142855,0.037137732,0.23672436,0.00029549893,1.0
6000,1.4478437,33.72727272727273,0.4398653,0.4,0.4,0.07979229,0.24693274,0.00029447046,1.0
7000,1.4526393,22.92105263157895,0.42721313,0.4523809523809524,0.4523809523809524,0.04066042,0.25809914,0.00029348227,1.0
8000,1.4468454,29.03030303030303,0.44914168,0.5454545454545454,0.5454545454545454,0.037657645,0.24650252,0.0002924658,1.0
9000,1.4481071,26.5,0.46799245,0.5294117647058824,0.5294117647058824,0.031011326,0.24329638,0.0002914979,1.0
10000,1.4452299,24.075,0.5058166,0.525,0.525,0.04508479,0.23289184,0.0002905195,1.0
11000,1.4488661,26.76923076923077,0.55688953,0.6052631578947368,0.6052631578947368,0.028926067,0.23524755,0.0002895177,1.0
12000,1.4551058,23.95,0.49800545,0.5365853658536586,0.5365853658536586,0.03210778,0.24210437,0.00028854125,1.0
13000,1.4587665,23.761904761904763,0.53470355,0.5609756097560976,0.5609756097560976,0.032871135,0.24065429,0.00028753863,1.0
14000,1.4537921,23.65714285714286,0.5823552,0.5675675675675675,0.5675675675675675,0.018036373,0.25011525,0.0002865031,1.0
15000,1.4482145,34.27272727272727,0.52378494,0.5862068965517241,0.5862068965517241,0.01896349,0.2424475,0.00028547627,1.0
16000,1.4484806,24.242424242424242,0.6049321,0.6756756756756757,0.6756756756756757,0.02748318,0.25767368,0.00028447065,1.0
17000,1.4498918,34.92857142857143,0.6566421,0.6785714285714286,0.6785714285714286,0.022143641,0.25218657,0.00028350815,1.0
18000,1.4488051,25.41025641025641,0.5938316,0.7,0.7,0.02387064,0.24156004,0.00028254127,1.0
19000,1.4408349,33.32258064516129,0.64886916,0.7857142857142857,0.7857142857142857,0.016396305,0.23520368,0.00028148235,1.0
20000,1.4446838,26.13888888888889,0.62911177,0.6410256410256411,0.6410256410256411,0.027452085,0.24294372,0.000280497,1.0
21000,1.442647,26.972972972972972,0.5968221,0.7567567567567568,0.7567567567567568,0.020817643,0.23605858,0.0002795077,1.0
22000,1.4478968,22.166666666666668,0.72464925,0.7857142857142857,0.7857142857142857,0.025485456,0.24935018,0.00027847747,1.0
23000,1.4461464,22.142857142857142,0.7348909,0.7906976744186046,0.7906976744186046,0.013954988,0.23725924,0.00027751824,1.0
24000,1.4434533,23.166666666666668,0.673591,0.7777777777777778,0.7777777777777778,0.018854985,0.23819855,0.0002765243,1.0
25000,1.4396762,27.88888888888889,0.64112055,0.7222222222222222,0.7222222222222222,0.010630275,0.251113,0.00027548417,1.0
26000,1.4428239,22.897435897435898,0.7213336,0.7560975609756098,0.7560975609756098,0.021914907,0.22709253,0.00027453026,1.0
27000,1.4474365,21.953488372093023,0.67101014,0.7906976744186046,0.7906976744186046,0.013632316,0.23812416,0.00027351757,1.0
28000,1.4489981,24.076923076923077,0.7146383,0.775,0.775,0.015684515,0.22184479,0.00027250528,1.0
29000,1.4485189,23.022222222222222,0.65008014,0.7441860465116279,0.7441860465116279,0.016202083,0.23238792,0.00027152855,1.0
30000,1.4425384,24.694444444444443,0.78158146,0.8947368421052632,0.8947368421052632,0.0053616986,0.23627043,0.0002704846,1.0
31000,1.439694,24.43243243243243,0.8430287,0.9444444444444444,0.9444444444444444,0.0060207187,0.25931048,0.00026947935,1.0
32000,1.4403778,22.58695652173913,0.8143878,0.8936170212765957,0.8936170212765957,0.009530247,0.23852837,0.00026842937,1.0
33000,1.4472532,22.775,0.7858545,0.9024390243902439,0.9024390243902439,0.007366182,0.2326892,0.0002674899,1.0
34000,1.447816,22.444444444444443,0.81692636,0.8837209302325582,0.8837209302325582,0.008858544,0.22537783,0.0002665046,1.0
35000,1.4459875,23.13157894736842,0.80042857,0.9230769230769231,0.9230769230769231,0.008553852,0.24478148,0.00026551328,1.0
36000,1.4426851,28.966666666666665,0.8330441,0.96875,0.96875,0.007663017,0.23482862,0.0002645215,1.0
37000,1.4382904,27.636363636363637,0.85519123,0.9705882352941176,0.9705882352941176,0.0023782183,0.25130844,0.0002635003,1.0
38000,1.4364512,26.666666666666668,0.80978924,0.9032258064516129,0.9032258064516129,0.007798319,0.23822539,0.00026248445,1.0
39000,1.4402221,29.257142857142856,0.86829126,1.0,1.0,0.0027040793,0.26063377,0.00026150627,1.0
40000,1.4423143,32.78378378378378,0.8311223,0.9714285714285714,0.9714285714285714,0.0061025037,0.25913984,0.00026051747,1.0
41000,1.4417057,27.545454545454547,0.8566671,0.9428571428571428,0.9428571428571428,0.0068483013,0.22852102,0.00025949528,1.0
42000,1.439012,22.674418604651162,0.81018734,0.8571428571428571,0.8571428571428571,0.0145334685,0.26450512,0.00025848325,1.0
43000,1.4432641,30.962962962962962,0.7605999,0.8928571428571429,0.8928571428571429,0.005783462,0.2654707,0.00025747716,1.0
44000,1.4475284,26.097560975609756,0.8280867,0.9761904761904762,0.9761904761904762,0.004573012,0.2520495,0.00025655326,1.0
45000,1.4445524,25.83783783783784,0.85674244,0.918918918918919,0.918918918918919,0.008470306,0.24682575,0.00025553082,1.0
46000,1.4461709,24.11111111111111,0.7859057,0.918918918918919,0.918918918918919,0.008722661,0.25082868,0.00025453663,1.0
47000,1.444331,23.511627906976745,0.778962,0.8863636363636364,0.8863636363636364,0.013101433,0.24857368,0.00025350726,1.0
48000,1.4419367,21.727272727272727,0.85582024,0.9534883720930233,0.9534883720930233,0.009509193,0.23146626,0.00025247684,1.0
49000,1.4383333,20.195652173913043,0.82744753,0.8775510204081632,0.8775510204081632,0.008364761,0.25522882,0.00025149703,1.0
50000,1.428851,21.767441860465116,0.83370095,0.9302325581395349,0.9302325581395349,0.0132917045,0.23510072,0.00025053637,1.0
