Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
30000,-0.33520246,0.5753773,799.0,-4.000000283122063,-4.000000283122063,1.0
30500,-0.3354014,0.7398777,None,None,None,1.0
31000,-0.28446037,0.777093,799.0,-4.400000289082527,-4.400000289082527,1.0
31500,-0.3637867,0.7307092,799.0,-4.000000283122063,-4.000000283122063,1.0
32000,-0.36229593,0.7442589,None,None,None,1.0
32500,-0.2481715,0.8700333,546.5,2.1650000289082527,2.1650000289082527,1.0
33000,-0.3096546,0.80567104,None,None,None,1.0
33500,-0.22771302,0.91365016,799.0,-4.499000281095505,-4.499000281095505,1.0
34000,-0.14610633,0.88186914,348.0,8.159999549388885,8.159999549388885,1.0
34500,-0.025119914,0.8981525,525.0,7.175000250339508,7.175000250339508,1.0
35000,-0.1673139,0.9194286,799.0,-4.797000288963318,-4.797000288963318,1.0
35500,-0.11069997,0.9575283,474.0,7.32999974489212,7.32999974489212,1.0
36000,-0.22244918,0.92229533,638.0,None,None,1.0
36500,-0.28817114,0.834669,None,6.609999418258667,6.609999418258667,1.0
37000,-0.33670175,0.8342072,799.0,-4.299000293016434,-4.299000293016434,1.0
37500,-0.08248775,0.93383896,None,None,None,1.0
38000,-0.29304996,0.9060741,799.0,-4.299000263214111,-4.299000263214111,1.0
38500,-0.3449673,0.8749547,799.0,-4.799000263214111,-4.799000263214111,1.0
39000,-0.41701686,0.93398935,None,None,None,1.0
39500,-0.41543773,0.9994264,799.0,-4.199000269174576,-4.199000269174576,1.0
40000,-0.42385685,0.9897774,None,None,None,1.0
40500,-0.38127193,0.9829202,799.0,-3.9990002810955048,-3.9990002810955048,1.0
41000,-0.37516534,1.0239573,799.0,-4.299000263214111,-4.299000263214111,1.0
41500,-0.3888056,1.0649077,None,None,None,1.0
42000,-0.39859262,0.99283695,799.0,-4.199000239372253,-4.199000239372253,1.0
42500,-0.3999388,1.0116084,799.0,-3.9990002810955048,-3.9990002810955048,1.0
43000,-0.42355412,0.94594353,None,None,None,1.0
43500,-0.4302834,0.9684227,799.0,-4.199000269174576,-4.199000269174576,1.0
44000,-0.43740797,0.9608214,None,None,None,1.0
44500,-0.43701467,0.9235037,799.0,-4.09900027513504,-4.09900027513504,1.0
45000,-0.098417126,0.97601485,583.0,6.78499898314476,6.78499898314476,1.0
45500,-0.44154292,0.9114502,799.0,-4.097000271081924,-4.097000271081924,1.0
46000,-0.4473195,0.9447719,None,None,None,1.0
46500,-0.42583498,0.8658483,799.0,-4.097000271081924,-4.097000271081924,1.0
47000,-0.44562775,0.925584,None,None,None,1.0
47500,-0.46392196,0.9227978,799.0,-4.397000283002853,-4.397000283002853,1.0
48000,-0.4700904,1.0067812,799.0,-4.397000253200531,-4.397000253200531,1.0
48500,-0.46910805,0.9500192,None,None,None,1.0
49000,-0.47248697,0.988742,799.0,-4.197000294923782,-4.197000294923782,1.0
49500,-0.46673658,1.0331914,799.0,-3.997000277042389,-3.997000277042389,1.0
50000,-0.17990875,1.0013764,142.0,9.190000265836716,9.190000265836716,1.0
50500,-0.33414602,1.0428473,526.0,7.070000171661377,7.070000171661377,1.0
51000,-0.4842083,1.0326723,799.0,-4.299000263214111,-4.299000263214111,1.0
51500,-0.18842259,1.0418872,507.0,7.364999771118164,7.364999771118164,1.0
52000,-0.48264885,1.011919,None,None,None,1.0
52500,-0.4171803,1.0246432,799.0,-4.096000283956528,-4.096000283956528,1.0
53000,-0.4269083,1.0186863,799.0,None,None,1.0
53500,-0.29688138,1.0185754,248.0,2.2319999635219574,2.2319999635219574,1.0
54000,-0.077355176,1.0120243,403.0,7.684999614953995,7.684999614953995,1.0
54500,-0.41895896,1.0197086,799.0,-4.400000289082527,-4.400000289082527,1.0
55000,-0.44962978,1.0295862,None,None,None,1.0
55500,-0.4590677,1.0466694,799.0,-4.3000002801418304,-4.3000002801418304,1.0
56000,-0.44157475,1.0376507,None,None,None,1.0
56500,-0.21704221,1.0852065,578.5,1.8049999922513962,1.8049999922513962,1.0
57000,-0.17621253,1.0645224,432.0,7.540000081062317,7.540000081062317,1.0
57500,-0.49466184,1.0814972,None,None,None,1.0
58000,-0.47605896,1.0522557,799.0,-4.299000263214111,-4.299000263214111,1.0
58500,-0.4482479,1.0912309,799.0,-4.09900027513504,-4.09900027513504,1.0
59000,0.8824004,1.0864383,195.0,9.024999588727951,9.024999588727951,1.0
59500,-0.24105367,1.0925957,615.0,6.724999159574509,6.724999159574509,1.0
60000,0.04425758,0.9064038,None,None,None,1.0
60500,-0.14345983,1.0227383,799.0,-4.100000277161598,-4.100000277161598,1.0
61000,0.0022238623,0.99211943,799.0,-4.000000283122063,-4.000000283122063,1.0
61500,-0.46333754,0.9863056,None,None,None,1.0
62000,0.09745328,1.0442561,537.5,7.062499925494194,7.062499925494194,1.0
62500,-0.44905984,0.995532,None,None,None,1.0
63000,-0.39718705,1.0177344,799.0,-4.500000223517418,-4.500000223517418,1.0
63500,-0.17046133,0.91199166,None,None,None,1.0
64000,-0.24774137,1.0285965,799.0,-4.500000283122063,-4.500000283122063,1.0
64500,-0.37820375,0.9456556,799.0,-4.90000019967556,-4.90000019967556,1.0
65000,0.00021176785,0.9317738,None,None,None,1.0
65500,-0.1896247,1.0472782,799.0,-4.200000271201134,-4.200000271201134,1.0
66000,-0.33224422,1.0239593,637.0,6.314999520778656,6.314999520778656,1.0
66500,-0.38639906,1.0419385,None,None,None,1.0
67000,-0.23531653,1.0233655,799.0,-4.59900027513504,-4.59900027513504,1.0
67500,0.6709757,0.9890468,458.0,7.010000258684158,7.010000258684158,1.0
68000,-0.12354353,0.9733817,799.0,-4.296000301837921,-4.296000301837921,1.0
68500,1.2126989,0.9671705,320.0,7.9999998807907104,7.9999998807907104,1.0
69000,-0.057546757,1.0091226,799.0,-4.397000283002853,-4.397000283002853,1.0
69500,-0.308861,1.0118854,None,None,None,1.0
70000,-0.25343323,1.0108333,799.0,-4.397000253200531,-4.397000253200531,1.0
70500,-0.19492999,1.0130093,None,None,None,1.0
71000,-0.41734624,1.0362566,799.0,-4.397000253200531,-4.397000253200531,1.0
71500,-0.40599042,0.98202217,799.0,-4.397000253200531,-4.397000253200531,1.0
72000,-0.46345055,0.97961664,None,None,None,1.0
72500,-0.33469838,1.0029647,799.0,-4.997000277042389,-4.997000277042389,1.0
73000,-0.15057261,0.9773496,799.0,-5.4970002472400665,-5.4970002472400665,1.0
73500,-0.47287706,0.97619784,None,None,None,1.0
74000,-0.45455724,1.010185,799.0,-4.097000271081924,-4.097000271081924,1.0
74500,0.16351457,0.9911196,660.0,5.899999350309372,5.899999350309372,1.0
75000,0.08537823,0.9939058,428.0,7.559999614953995,7.559999614953995,1.0
75500,0.04151406,0.9136987,511.0,6.445000141859055,6.445000141859055,1.0
76000,-0.23936936,0.998445,289.0,8.454999953508377,8.454999953508377,1.0
76500,-0.42836824,0.9860756,799.0,-4.297000288963318,-4.297000288963318,1.0
77000,0.17493635,0.9419714,214.0,8.930000275373459,8.930000275373459,1.0
77500,0.5343201,0.87366885,382.0,7.939999774098396,7.939999774098396,1.0
78000,-0.44931626,0.940871,None,None,None,1.0
78500,-0.393925,0.98359966,799.0,-4.498000264167786,-4.498000264167786,1.0
79000,-0.28572682,0.9290547,799.0,None,None,1.0
79500,1.2311914,0.93005943,202.0,4.527333060900371,4.527333060900371,1.0
80000,-0.40631175,0.9179379,None,None,None,1.0
80500,0.22242662,0.8764153,519.0,2.154000014066696,2.154000014066696,1.0
81000,-0.4452319,0.9862564,None,None,None,1.0
