Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,0.23330787,1.3859893,799.0,-7.700000435113907,-7.700000435113907,1.0
1500,0.15604922,1.3826379,None,None,None,1.0
2000,0.23337667,1.3778454,799.0,-8.10000017285347,-8.10000017285347,1.0
2500,0.10265614,1.375283,799.0,-7.8000002056360245,-7.8000002056360245,1.0
3000,0.13533239,1.370183,None,None,None,1.0
3500,0.03077444,1.3584116,799.0,-8.000000238418579,-8.000000238418579,1.0
4000,0.0866388,1.3420739,799.0,None,None,1.0
4500,-0.059812225,1.3452833,None,-6.800000101327896,-6.800000101327896,1.0
5000,-0.058681354,1.3242325,799.0,-7.200000360608101,-7.200000360608101,1.0
5500,-0.16475861,1.2661752,None,None,None,1.0
6000,-0.2275513,1.3175085,799.0,-6.00000037252903,-6.00000037252903,1.0
6500,-0.21874978,1.3266875,799.0,-5.900000214576721,-5.900000214576721,1.0
7000,-0.2813451,1.3315274,None,None,None,1.0
7500,-0.28554308,1.3138008,799.0,-5.100000262260437,-5.100000262260437,1.0
8000,-0.3046636,1.3269389,799.0,None,None,1.0
8500,-0.3070652,1.3118023,None,-4.900000229477882,-4.900000229477882,1.0
9000,-0.3351556,1.2665955,799.0,-4.700000271201134,-4.700000271201134,1.0
9500,-0.34304217,1.2852615,None,None,None,1.0
10000,-0.3537432,1.2757826,799.0,-5.000000238418579,-5.000000238418579,1.0
10500,-0.35724282,1.2485832,799.0,-4.500000283122063,-4.500000283122063,1.0
11000,-0.38331458,1.2426312,None,None,None,1.0
11500,-0.3611528,1.2687668,799.0,-4.500000283122063,-4.500000283122063,1.0
12000,-0.3845099,1.199176,799.0,None,None,1.0
12500,-0.37864593,1.2507013,None,-4.800000295042992,-4.800000295042992,1.0
13000,-0.39850155,1.2563452,799.0,-4.400000259280205,-4.400000259280205,1.0
13500,-0.40655175,1.2490543,None,None,None,1.0
14000,-0.42783606,1.2074786,799.0,-4.800000235438347,-4.800000235438347,1.0
14500,-0.4170406,1.2041011,799.0,-4.300000295042992,-4.300000295042992,1.0
15000,-0.44267327,1.2542988,None,None,None,1.0
15500,-0.45480996,1.230189,799.0,-4.500000223517418,-4.500000223517418,1.0
16000,-0.44221112,1.1995195,799.0,None,None,1.0
16500,-0.48079717,1.2211248,None,-4.200000271201134,-4.200000271201134,1.0
17000,-0.49021244,1.1969286,799.0,-4.200000301003456,-4.200000301003456,1.0
17500,-0.44198003,1.1723031,None,None,None,1.0
18000,-0.4770644,1.2109604,799.0,-4.000000283122063,-4.000000283122063,1.0
18500,-0.48960924,1.1945642,799.0,-4.300000295042992,-4.300000295042992,1.0
19000,-0.48365507,1.1551502,None,None,None,1.0
19500,-0.48939097,1.1716067,799.0,-4.300000265240669,-4.300000265240669,1.0
20000,-0.4790474,1.2309995,799.0,None,None,1.0
20500,-0.49096087,1.1963526,None,-4.400000229477882,-4.400000229477882,1.0
21000,-0.49110425,1.1918848,799.0,-4.200000271201134,-4.200000271201134,1.0
21500,-0.5011819,1.1674194,None,None,None,1.0
22000,-0.49636513,1.1612396,799.0,-4.200000271201134,-4.200000271201134,1.0
22500,-0.5046615,1.1720035,799.0,-4.300000295042992,-4.300000295042992,1.0
23000,-0.5038109,1.1484872,None,None,None,1.0
23500,-0.5027716,1.1513435,799.0,-4.100000277161598,-4.100000277161598,1.0
24000,-0.5068195,1.1763716,799.0,None,None,1.0
24500,-0.50220275,1.1446166,None,-4.100000277161598,-4.100000277161598,1.0
25000,-0.5076237,1.1671748,799.0,-4.000000283122063,-4.000000283122063,1.0
25500,-0.50389016,1.1850681,None,None,None,1.0
26000,-0.5041038,1.1133204,799.0,-4.100000277161598,-4.100000277161598,1.0
26500,-0.50595665,1.1053239,799.0,-4.200000301003456,-4.200000301003456,1.0
27000,-0.49765688,1.1377057,None,None,None,1.0
27500,-0.501487,1.120076,799.0,-4.400000289082527,-4.400000289082527,1.0
28000,-0.50936645,1.0731902,799.0,None,None,1.0
28500,-0.5205707,1.113514,None,-4.200000315904617,-4.200000315904617,1.0
29000,-0.5374948,1.0989331,799.0,-4.000000283122063,-4.000000283122063,1.0
29500,-0.52789956,1.0885891,None,None,None,1.0
30000,-0.523695,1.0957123,799.0,-4.100000277161598,-4.100000277161598,1.0
30500,-0.5397247,1.0930501,799.0,-4.200000271201134,-4.200000271201134,1.0
31000,-0.51405287,1.1286374,None,None,None,1.0
31500,-0.50769734,1.1427656,799.0,-4.000000283122063,-4.000000283122063,1.0
32000,-0.52827823,1.1066984,799.0,None,None,1.0
32500,-0.52095854,1.1055592,None,-4.000000283122063,-4.000000283122063,1.0
33000,-0.5193356,1.0649253,799.0,-4.000000283122063,-4.000000283122063,1.0
33500,-0.49855357,1.0821583,None,None,None,1.0
34000,-0.50325805,1.0743188,799.0,-4.200000241398811,-4.200000241398811,1.0
34500,-0.50432014,1.0775683,799.0,-4.000000283122063,-4.000000283122063,1.0
35000,-0.50315756,1.1262797,None,None,None,1.0
35500,-0.50276405,1.1336907,799.0,-4.000000283122063,-4.000000283122063,1.0
36000,-0.49136734,0.9957202,799.0,None,None,1.0
36500,-0.49398386,1.0704179,None,-4.100000277161598,-4.100000277161598,1.0
37000,-0.49559996,1.0172414,799.0,-4.000000283122063,-4.000000283122063,1.0
37500,-0.50160533,1.0784909,None,None,None,1.0
38000,-0.503664,1.000269,799.0,-4.000000283122063,-4.000000283122063,1.0
38500,-0.5106987,0.99473786,799.0,-4.000000283122063,-4.000000283122063,1.0
39000,-0.50093514,1.0598804,None,None,None,1.0
39500,-0.5031541,1.0745294,799.0,-4.000000283122063,-4.000000283122063,1.0
40000,-0.49238402,1.0737226,799.0,None,None,1.0
40500,-0.48680854,1.0092978,None,-4.200000241398811,-4.200000241398811,1.0
41000,-0.491372,1.0052775,799.0,-4.300000295042992,-4.300000295042992,1.0
41500,-0.49566725,1.0191379,None,None,None,1.0
42000,-0.4989003,1.1236354,799.0,-4.100000277161598,-4.100000277161598,1.0
42500,-0.49633583,1.1023388,799.0,-4.000000283122063,-4.000000283122063,1.0
43000,-0.49368948,1.0557709,None,None,None,1.0
43500,-0.49732688,1.0513957,799.0,-4.000000283122063,-4.000000283122063,1.0
44000,-0.49814597,0.97191924,799.0,None,None,1.0
44500,-0.5032052,1.046582,None,-4.200000301003456,-4.200000301003456,1.0
45000,-0.498935,1.0237631,799.0,-4.600000277161598,-4.600000277161598,1.0
