Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Is Training
1000,1.3891331,43.47826086956522,0.94949067,0.18181818181818182,0.18181818181818182,0.8960921,-0.58439875,0.06981222,0.5114087,0.9866732,0.00029999996,1.0
2000,1.3315551,57.1875,1.4043504,0.25,0.25,0.28651226,-0.77218086,0.01855835,0.052637707,0.9578061,0.00029999996,1.0
3000,1.3123792,40.523809523809526,1.5639832,0.17391304347826086,0.17391304347826086,0.16353182,-0.9594251,0.02145503,0.03590257,0.9293323,0.00029999996,1.0
4000,1.295149,46.95238095238095,1.736818,0.19047619047619047,0.19047619047619047,0.16403855,-1.2785949,0.024149014,0.038092025,0.90226376,0.00029999996,1.0
5000,1.311861,50.0,2.0291743,0.3157894736842105,0.3157894736842105,0.114397004,-1.6695733,0.020706108,0.03078159,0.87499636,0.00029999996,1.0
6000,1.3201435,54.166666666666664,2.4017391,0.2222222222222222,0.2222222222222222,0.14025119,-1.9234067,0.03602718,0.037195522,0.84902376,0.00029999993,1.0
7000,1.3037475,50.3,2.9653652,0.15,0.15,0.24535011,-2.4324048,0.058685478,0.072951026,0.82442915,0.00029999996,1.0
8000,1.3223652,48.25,2.8794978,0.17647058823529413,0.17647058823529413,0.2956095,-2.613759,0.088107884,0.08415406,0.79982775,0.00029999996,1.0
9000,1.3149979,51.55,3.0133295,0.22727272727272727,0.22727272727272727,0.33380893,-2.8472595,0.10538947,0.111993,0.7761289,0.00029999996,1.0
10000,1.3244613,47.65217391304348,3.613875,0.18181818181818182,0.18181818181818182,0.34001842,-3.1929388,0.09937506,0.11640432,0.75294304,0.00029999996,1.0
11000,1.3332735,52.73684210526316,3.9128845,0.15789473684210525,0.15789473684210525,0.33342335,-3.6207795,0.09129414,0.12000764,0.7300981,0.00029999996,1.0
12000,1.3144786,50.285714285714285,4.251782,0.1875,0.1875,0.4721212,-3.9492004,0.15847485,0.15356942,0.70889986,0.00029999996,1.0
13000,1.314012,45.88461538461539,4.7957525,0.19230769230769232,0.19230769230769232,0.4210841,-4.7112155,0.15052405,0.16790752,0.6879236,0.00029999996,1.0
14000,1.3024303,47.85,4.972934,0.2,0.2,0.46580026,-4.724549,0.16395551,0.1769198,0.6676549,0.00029999996,1.0
